1 января 1925 года, процент освещенности луны 44%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
21 декабря 1925 года, процент освещенности луны 38%, по лунному календарю идет 6, 7 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы
22 декабря 1925 года, процент освещенности луны 49%, по лунному календарю идет 7, 8 лунный день, Растущая Луна (Первая фаза), Луна находится в знаке зодиака Рыбы и Овен
23 декабря 1925 года, процент освещенности луны 60%, по лунному календарю идет 8, 9 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен
24 декабря 1925 года, процент освещенности луны 70%, по лунному календарю идет 9, 10 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Овен и Телец
25 декабря 1925 года, процент освещенности луны 79%, по лунному календарю идет 10, 11 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
26 декабря 1925 года, процент освещенности луны 87%, по лунному календарю идет 11, 12 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец
27 декабря 1925 года, процент освещенности луны 93%, по лунному календарю идет 12, 13 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Телец и Близнецы
28 декабря 1925 года, процент освещенности луны 97%, по лунному календарю идет 13, 14 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы
29 декабря 1925 года, процент освещенности луны 100%, по лунному календарю идет 14, 15 лунный день, Растущая Луна (Вторая фаза), Луна находится в знаке зодиака Близнецы и Рак
30 декабря 1925 года, процент освещенности луны 100%, по лунному календарю идет 15, 16 лунный день, Полнолуние в 4:01, Луна находится в знаке зодиака Рак
31 декабря 1925 года, процент освещенности луны 99%, по лунному календарю идет 16, 17 лунный день, Убывающая Луна (Третья фаза), Луна находится в знаке зодиака Рак
